TF,Target,Mode,pumid,Moonlight_Oncogenic_Mediator,CScape_Driver,logFC
BRCA1,AREG,Repression,20103632,OCG,1,1.2153112858437591
BRCA1,ASPM,Activation,16123590,OCG,1,1.2153112858437591
BRCA1,ATM,Activation,22832221,OCG,1,1.2153112858437591
BRCA1,CDH3,Repression,22120723,OCG,1,1.2153112858437591
BRCA1,CDKN1A,Activation,16735508;18025037;21245169,OCG,1,1.2153112858437591
BRCA1,CDKN1B,Activation,18025037,OCG,1,1.2153112858437591
BRCA1,CTSD,Repression,11244506,OCG,1,1.2153112858437591
BRCA1,CXCL1,Repression,22120723,OCG,1,1.2153112858437591
BRCA1,CYP19A1,Activation,21087664,OCG,1,1.2153112858437591
BRCA1,DDB2,Activation,12170778,OCG,1,1.2153112858437591
BRCA1,DDIT3,Activation,21700680,OCG,1,1.2153112858437591
BRCA1,E2F6,Repression,17096023,OCG,1,1.2153112858437591
BRCA1,EGFR,Repression,21396117,OCG,1,1.2153112858437591
BRCA1,EP300,Activation,11782371,OCG,1,1.2153112858437591
BRCA1,ESR1,Activation,20060929,OCG,1,1.2153112858437591
BRCA1,FOXC1,Repression,22120723,OCG,1,1.2153112858437591
BRCA1,FOXC2,Repression,22120723,OCG,1,1.2153112858437591
BRCA1,FST,Activation,22685544,OCG,1,1.2153112858437591
BRCA1,GADD45A,Activation,10962562;17428466;18025037,OCG,1,1.2153112858437591
BRCA1,GADD45A,Repression,18350249,OCG,1,1.2153112858437591
BRCA1,HMGA2,Repression,20007691,OCG,1,1.2153112858437591
BRCA1,HNRNPA2B1,Repression,21099359,OCG,1,1.2153112858437591
BRCA1,HSPA5,Repression,18776923,OCG,1,1.2153112858437591
BRCA1,IFNA1,Activation,17374731,OCG,1,1.2153112858437591
BRCA1,IGF1,Repression,18045956,OCG,1,1.2153112858437591
BRCA1,IRF7,Activation,17374731,OCG,1,1.2153112858437591
BRCA1,IRF9,Activation,12212615,OCG,1,1.2153112858437591
BRCA1,KHSRP,Repression,21099359,OCG,1,1.2153112858437591
BRCA1,MAD2L1,Activation,15563594,OCG,1,1.2153112858437591
BRCA1,MDM2,Activation,11256609,OCG,1,1.2153112858437591
BRCA1,RNASEL,Activation,15940267,OCG,1,1.2153112858437591
BRCA1,S100A2,Activation,24556685,OCG,1,1.2153112858437591
BRCA1,SIRT1,Activation,18851829;20160719;21407215;9000507,OCG,1,1.2153112858437591
BRCA1,STAT1,Activation,17374731,OCG,1,1.2153112858437591
BRCA1,STAT2,Activation,17374731,OCG,1,1.2153112858437591
BRCA1,TFF1,Repression,11244506,OCG,1,1.2153112858437591
BRCA1,VEGFA,Activation,16543242,OCG,1,1.2153112858437591
FOXM1,AR,Activation,24583551,OCG,1,2.946470930672069
FOXM1,BTG2,Activation,19615363,OCG,1,2.946470930672069
FOXM1,CCNB1,Activation,19276163,OCG,1,2.946470930672069
FOXM1,CDC25B,Activation,19276163,OCG,1,2.946470930672069
FOXM1,CDC6,Activation,24583551,OCG,1,2.946470930672069
FOXM1,CDKN2A,Repression,22461910,OCG,1,2.946470930672069
FOXM1,FGB,Repression,15737987,OCG,1,2.946470930672069
FOXM1,MYC,Activation,23804320,OCG,1,2.946470930672069
FOXM1,SFTPB,Activation,12161428,OCG,1,2.946470930672069
MYBL2,MYC,Activation,1594249,OCG,2,3.841140027747545
POU2AF1,IGH,Activation,1423591,OCG,1,1.6434234388945146
POU2AF1,TK1,Activation,15831936,OCG,1,1.6434234388945146
POU2AF1,TNFRSF17,Activation,17621271,OCG,1,1.6434234388945146
RBL1,BRCA1,Repression,17106239,OCG,1,0.8035817782881214
RBL1,CCNA2,Repression,8642699,OCG,1,0.8035817782881214
RBL1,HIST1H2AE,Repression,8628255,OCG,1,0.8035817782881214
RBL1,TFDP1,Repression,8223441,OCG,1,0.8035817782881214
